participant,abs_seq,start,end,duration,delay,block,block_seq,exec_time
134146,145,2019-11-15 19:36:51.248000+00:00,2019-11-15 19:36:59.960000+00:00,0 days 00:00:08.712000,0 days 00:00:01.650000,18,0,0 days 00:00:04.518000
134146,146,2019-11-15 19:36:59.960000+00:00,2019-11-15 19:37:08.247000+00:00,0 days 00:00:08.287000,0 days 00:00:01.650000,18,1,0 days 00:00:05.566000
134146,147,2019-11-15 19:37:08.247000+00:00,2019-11-15 19:37:13.239000+00:00,0 days 00:00:04.992000,0 days 00:00:01.650000,18,2,0 days 00:00:01.718000
134146,148,2019-11-15 19:37:13.239000+00:00,2019-11-15 19:37:19.847000+00:00,0 days 00:00:06.608000,0 days 00:00:01.650000,18,3,0 days 00:00:03.586000
134146,149,2019-11-15 19:37:19.847000+00:00,2019-11-15 19:37:26.457000+00:00,0 days 00:00:06.610000,0 days 00:00:03,19,0,0 days 00:00:03.633000
134146,150,2019-11-15 19:37:26.457000+00:00,2019-11-15 19:37:35.465000+00:00,0 days 00:00:09.008000,0 days 00:00:03,19,1,0 days 00:00:04.365000
134146,151,2019-11-15 19:37:35.465000+00:00,2019-11-15 19:37:44.500000+00:00,0 days 00:00:09.035000,0 days 00:00:03,19,2,0 days 00:00:03.876000
134146,152,2019-11-15 19:37:44.500000+00:00,2019-11-15 19:37:53.536000+00:00,0 days 00:00:09.036000,0 days 00:00:03,19,3,0 days 00:00:03.482000
134146,153,2019-11-15 19:37:53.536000+00:00,2019-11-15 19:38:05.572000+00:00,0 days 00:00:12.036000,0 days 00:00:00,20,0,0 days 00:00:06.683000
134146,154,2019-11-15 19:38:05.572000+00:00,2019-11-15 19:38:11.110000+00:00,0 days 00:00:05.538000,0 days 00:00:00,20,1,0 days 00:00:04.313000
134146,155,2019-11-15 19:38:11.110000+00:00,2019-11-15 19:38:15.803000+00:00,0 days 00:00:04.693000,0 days 00:00:00,20,2,0 days 00:00:03.349000
134146,156,2019-11-15 19:38:15.803000+00:00,2019-11-15 19:38:21.190000+00:00,0 days 00:00:05.387000,0 days 00:00:00,20,3,0 days 00:00:04.602000
134146,157,2019-11-15 19:38:21.190000+00:00,2019-11-15 19:38:26.356000+00:00,0 days 00:00:05.166000,0 days 00:00:00,20,4,0 days 00:00:04.063000
